fe,num_examples,baseline.fn,fn+exemplars,fn+exemplars+siblings,fn+exemplars+srl
Abounding_with;Location,16,0.758620689655172,0.848484848484849,0.848484848484849,0.848484848484849
Abounding_with;Theme,14,0.285714285714286,0.56,0.56,0.56
Abusing;Type,1,0,0,0,0
Abusing;Victim,1,0,0,0,0
Accompaniment;Coparticipant,2,1,1,1,0.666666666666667
Accompaniment;Participant,1,0,0,0,0
Accomplishment;Agent,1,1,1,1,1
Accomplishment;Goal,3,0,0.666666666666667,0.666666666666667,0.666666666666667
Accomplishment;Means,2,0,0,0,0
Active_substance;Effect,1,0,0,0,0
Active_substance;Substance,2,1,1,1,1
Activity_done_state;Activity,1,0,0,0,0
Activity_done_state;Agent,1,0,1,1,1
Activity_finish;Activity,11,0.636363636363636,0.545454545454545,0.545454545454545,0.545454545454545
Activity_finish;Agent,9,0.875,0.875,0.823529411764706,0.941176470588235
Activity_finish;Purpose,1,0,0,0,0
Activity_finish;Time,1,0,0,0,0
Activity_ongoing;Activity,15,0.8,0.8,0.8,0.8
Activity_ongoing;Agent,13,0.782608695652174,0.8,0.75,0.75
Activity_ongoing;Duration,1,0,0,0.666666666666667,0
Activity_ongoing;Manner,1,0,0,0,0
Activity_ongoing;Purpose,1,0,0,0,0
Activity_ongoing;Time,3,0.857142857142857,0.8,0.8,0.5
Activity_pause;Activity,8,0.75,0.705882352941177,0.666666666666667,0.75
Activity_pause;Agent,6,0.857142857142857,0.909090909090909,1,0.909090909090909
Activity_pause;Time,1,0,0,0,0
Activity_prepare;Activity,1,1,0,1,0
Activity_prepare;Agent,1,1,0,1,0
Activity_ready_state;Activity,4,0.5,0.571428571428572,0.571428571428572,0.571428571428572
Activity_ready_state;Protagonist,5,0.888888888888889,0.75,1,0.75
Activity_ready_state;Salient_entity,1,0,1,1,1
Activity_ready_state;Time,1,0,0,0,0
Activity_start;Activity,17,0.823529411764706,0.764705882352941,0.857142857142857,0.764705882352941
Activity_start;Agent,17,0.882352941176471,0.857142857142857,0.857142857142857,0.857142857142857
Activity_start;Time,5,0.8,0.8,0.909090909090909,0.8
Activity_stop;Activity,1,0,0,0,0
Activity_stop;Agent,1,1,1,1,1
Addiction;Addict,2,0,0.5,0.5,0.5
Adducing;Medium,1,0,0,0,0
Adducing;Role,1,0,1,1,1
Adducing;Speaker,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
Adducing;Specified_entity,2,0.5,0.5,0.5,1
Adducing;Time,1,1,1,1,1
Adjusting;Agent,1,0,0,0,0
Adjusting;Time,1,0,0,0,0
Aesthetics;Attribute,1,0,0,0,0
Aesthetics;Degree,1,1,1,1,1
Aesthetics;Entity,1,0,0,0,0
Age;Age,25,0.682926829268293,0.711111111111111,0.634146341463415,0.711111111111111
Age;Entity,25,0.705882352941177,0.588235294117647,0.576923076923077,0.588235294117647
Aggregate;Aggregate,42,0.952380952380952,0.952380952380952,0.952380952380952,0.952380952380952
Aggregate;AggregateProperty,7,0.181818181818182,0,0,0
Aggregate;Individuals,11,0.470588235294118,0.37037037037037,0.37037037037037,0.37037037037037
Aggregate;Name,7,0,0,0,0
Agree_or_refuse_to_act;Proposed_action,2,0,1,1,1
Agree_or_refuse_to_act;Speaker,2,1,1,1,1
Amassing;Duration,1,0,0,0,0
Amassing;Mass_theme,2,1,1,1,1
Amassing;Recipient,2,0.666666666666667,1,1,0.666666666666667
Amounting_to;Attribute,2,0,0.666666666666667,0.666666666666667,0.666666666666667
Amounting_to;Time_span,1,0,0,0,0
Amounting_to;Value,5,0,0.285714285714286,0.285714285714286,0.25
Appearance;Appraisal,1,0,0,0,0
Appearance;Characterization,2,0,0.666666666666667,0.666666666666667,0.666666666666667
Appearance;Inference,8,0.666666666666667,0.545454545454545,0.615384615384615,0.545454545454545
Appearance;Phenomenon,9,0.736842105263158,0.7,0.7,0.7
Architectural_part;Descriptor,1,0,0,0,0
Architectural_part;Orientation,1,0,0,0,0
Architectural_part;Part,8,1,0.875,1,0.875
Architectural_part;Whole,1,0,0,0.666666666666667,0
Arranging;Agent,1,0,1,1,1
Arranging;Theme,1,1,1,1,1
Arrest;Authorities,1,0,0,0,0
Arrest;Suspect,8,0.857142857142857,1,0.875,1
Arriving;Cotheme,1,0,0,0,0
Arriving;Event_description,1,0,0,0,0
Arriving;Goal,32,0.636363636363636,0.647058823529412,0.695652173913043,0.686567164179104
Arriving;Manner,1,0,0,0,0
Arriving;Mode_of_transportation,1,0,0,1,0
Arriving;Place,1,0,0,0,0
Arriving;Purpose,2,0,0,0,0
Arriving;Source,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
Arriving;Theme,37,0.605263157894737,0.615384615384615,0.615384615384615,0.666666666666667
Arriving;Time,17,0.266666666666667,0.210526315789474,0.347826086956522,0.210526315789474
Artifact;Artifact,4,0.857142857142857,1,1,1
Artifact;Use,1,0,0,0,0
Assemble;Individuals,1,0,0,0,0
Assemble;Purpose,1,0,0,0,0
Assemble;Time,1,0,0,0,0
Assessing;Assessor,1,0,0,0,0
Assessing;Phenomenon,2,0.666666666666667,1,0.5,0.666666666666667
Assistance;Benefited_party,18,0.666666666666667,0.6875,0.625,0.787878787878788
Assistance;Domain,2,0,0,0.666666666666667,0
Assistance;Focal_entity,2,0,0,0,0
Assistance;Goal,11,0.384615384615385,0.4,0.416666666666667,0.416666666666667
Assistance;Helper,22,0.523809523809524,0.545454545454545,0.577777777777778,0.604651162790698
Assistance;Means,1,0,0,0,0
Assistance;Time,7,0.2,0,0.4,0
Attaching;Agent,1,0,0,0,0
Attaching;Goal,1,0,0,0,0
Attaching;Item,1,0,0,0,0
Attaching;Place,1,0,0,0,0
Attack;Assailant,4,0.75,0.5,0.444444444444444,0.571428571428572
Attack;Depictive,1,0,0,0,0
Attack;Time,2,0,0,0,0
Attack;Victim,4,0.666666666666667,1,1,1
Attempt;Agent,15,0.814814814814815,0.774193548387097,0.8125,0.857142857142857
Attempt;Goal,17,0.705882352941177,0.742857142857143,0.742857142857143,0.742857142857143
Attempt;Manner,1,0,0,0,0
Attempt;Place,1,0,0,0,0
Attempt_suasion;Addressee,5,0.6,0.666666666666667,0.727272727272727,0.666666666666667
Attempt_suasion;Content,7,0.769230769230769,0.769230769230769,0.714285714285714,0.769230769230769
Attempt_suasion;Speaker,6,0.363636363636364,0.461538461538462,0.428571428571429,0.461538461538462
Attending;Agent,1,1,1,1,1
Attending;Event,1,0,0,0,0
Attributed_information;Proposition,7,0,0,0,0
Attributed_information;Speaker,5,0.444444444444444,0.833333333333333,0.833333333333333,0.833333333333333
Attributed_information;Text,2,0,0,0,0
Avoiding;Agent,2,0,0,0,1
Avoiding;Undesirable_situation,2,1,1,1,1
Awareness;Cognizer,50,0.92,0.895238095238095,0.912621359223301,0.895238095238095
Awareness;Content,30,0.541176470588235,0.54054054054054,0.58974358974359,0.56
Awareness;Time,2,0,0,0,0
Becoming_a_member;Group,2,1,0.5,0.5,1
Becoming_a_member;New_member,2,0,0.666666666666667,0.5,0.666666666666667
Becoming_aware;Cognizer,5,0.833333333333333,1,1,1
Becoming_aware;Phenomenon,7,0.571428571428571,0.571428571428571,0.428571428571429,0.714285714285714
Becoming_aware;Time,2,0,0,0,0
Being_active;Agent,1,0,0,0,0
Being_active;Place,1,0,0,0,0
Being_at_risk;Asset,2,0,1,0.8,1
Being_attached;Items,1,0,0,0,0
Being_attached;Manner,1,0,0,0,0
Being_born;Child,1,0,0,0,1
Being_born;Place,1,1,1,1,1
Being_employed;Circumstances,1,0,0,0,0
Being_employed;Duration,1,0,0,0,0
Being_employed;Employee,7,0.769230769230769,0.714285714285714,0.714285714285714,0.714285714285714
Being_employed;Employer,1,0,0,1,0
Being_employed;Field,1,0,0,0,0
Being_employed;Manner,1,0,0,0,0
Being_employed;Particular_iteration,1,0,0,0,0
Being_employed;Place_of_employment,1,0,0,0,0
Being_employed;Task,2,0.666666666666667,0,0,0
Being_employed;Time,1,0,0,0,0
Being_in_category;Item,1,0,0,0,0
Being_in_effect;Binding_principle,2,1,1,1,1
Being_in_effect;Explanation,1,0,0,0,0
Being_in_effect;Time,1,0,0,0,1
Being_located;Cotheme,1,0,0,0,0
Being_located;Location,4,0.5,0.5,0.5,0.5
Being_located;Place,1,0,0,0,0
Being_located;Theme,4,0.25,0.25,0.25,0.75
Being_named;Entity,6,0.461538461538462,0.4,0.428571428571429,0.571428571428572
Being_named;Name,7,0.461538461538462,0.375,0.375,0.4
Being_named;Name_source,1,0,0,0,0
Being_named;Type,1,0,0,0,0
Being_necessary;Dependent,5,0.2,1,1,1
Being_necessary;Required_entity,4,0,0,0,0
Being_necessary;Requirement,3,0.4,0.222222222222222,0.222222222222222,0
Being_obligated;Duty,3,0.571428571428572,0.571428571428572,0.571428571428572,0.333333333333333
Being_obligated;Responsible_party,1,0,0,0,0
Being_obligated;Time,2,0,0,0,0
Beyond_compare;Standard,1,0,1,1,1
Beyond_compare;Variable,1,0,1,1,1
Biological_area;Container_possessor,1,0,0,0,0
Biological_area;Descriptor,1,0,0,0,0
Biological_area;Locale,5,1,1,1,1
Birth;Parents,1,0,0,0,0
Board_vehicle;Traveller,1,0,1,1,1
Board_vehicle;Vehicle,1,0,1,1,1
Body_movement;Agent,2,1,1,1,1
Body_movement;Body_part,2,0,1,1,1
Body_movement;Purpose,1,0,1,1,1
Bringing;Agent,3,0.4,0.222222222222222,0.222222222222222,0.222222222222222
Bringing;Carrier,4,0.857142857142857,0,0,0
Bringing;Constant_location,2,0,0,0,0
Bringing;Goal,2,0.4,0.4,0.4,0.4
Bringing;Path,2,0,0,0,0
Bringing;Period_of_iterations,1,0,0,0,0
Bringing;Purpose,1,0,0,0,0
Bringing;Source,1,0,0,0,0
Bringing;Theme,9,0.631578947368421,0.666666666666667,0.666666666666667,0.631578947368421
Building;Agent,6,0.75,0.705882352941176,0.666666666666667,0.588235294117647
Building;Components,1,0,0,0,0
Building;Created_entity,23,0.595744680851064,0.625,0.625,0.595744680851064
Building;Descriptor,1,0,0,0,0
Building;Place,4,0.5,0.444444444444444,0.666666666666667,0.285714285714286
Building;Purpose,3,0.5,0.5,0.8,0.5
